setup	ROC AUC	PR AUC
baseline: MLP	0.6752114946709042	0.6775241676096669
baseline: GNN + random init (p, t, m)	0.7380804398980592	0.7359873352387212
GAT + random init (p, t, m), pos/neg = 1/1	0.7642414553981691	0.7685648959484999
GAT + random init (p, t, m), pos/neg = 1/2	0.7760395604276303	0.7933091759256952
GAT + random init (p, t) + one-hot (m), pos/neg = 1/1	0.7013440123327788	0.7296418417534773
GAT + random init (p, t) + one-hot (m), pos/neg = 1/2	0.6876874411383936	0.48363774265912973
GAT + ESM C (p, t, m)	0.5866578549541456	0.5304810025184957
GAT + ESM C (p, t) + one-hot (m)	0.6214062190425269	0.5910404439063648
GAT 2 stage	0.6893753731108807	0.6494849569600736
GAT meta learning	0.611189065515173	0.599381888786749

